OBJECTID,BdVal,PctNum,BdName,ElectPct,Requests,Returns,PercentReturned,Party,ELECTNO_1,ELECTDATE,ELECTTTL,ELECTTL2,SHAPE__Area,SHAPE__Length
1,0159,159.0,COPPER HILLS,0159,712,546,0.766853,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4668065.8515625,9664.04288822313
2,0374,374.0,HILTON,0374,388,174,0.448453,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,11971797.4414063,19833.5857144812
3,0926,926.0,WOOD,0926,874,454,0.51945,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3727548.69921875,7721.70712170273
4,0244,244.0,DUSTY TRAIL,0244,481,241,0.501039,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,10543453.5351563,18814.2802068415
5,0259,259.0,EMERALD,0259,610,540,0.885245,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4126054.22265625,9019.97436307405
6,0136,136.0,CLEARVIEW,0136,918,677,0.737472,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3758212.9296875,7775.87557228059
7,0789,789.0,STELLA,0789,726,299,0.411845,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2365765.6640625,6815.87340104468
8,0151,151.0,COMET,0151,834,457,0.547961,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3544831.7578125,9708.37631427825
9,0231,231.0,DOS RIOS,0231,884,318,0.359728,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7329239.671875,11442.3965767156
10,0931,931.0,YUCATAN,0931,324,175,0.540123,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7405460.20703125,11529.0266888141
11,0928,928.0,XAVIER,0928,913,491,0.537787,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2700002.31640625,7907.12364841616
12,0657,657.0,PORTLAND,0657,392,161,0.410714,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4975860.80078125,9123.96792272197
13,0677,677.0,REDDEN,0677,620,413,0.666129,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1824451.2421875,5757.89273018987
14,0493,493.0,MARLETTE,0493,1513,953,0.629874,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3710838.37890625,7705.50612570762
15,0619,619.0,PARK MEADOWS,0619,303,237,0.782178,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3784533.35546875,7783.79432897985
16,0651,651.0,POINSETTIA,0651,225,146,0.648888,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1511688.41796875,5748.01215679501
17,0323,323.0,GOLDEN,0323,584,346,0.592465,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3761986.3203125,7758.59132530281
18,0531,531.0,MONTEBELLO,0531,690,271,0.392753,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2305827.0859375,7637.22185797868
19,0064,64.0,BLACK GOLD,0064,540,471,0.872222,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4820192.7578125,9709.44621914566
20,0482,482.0,MAGIC STONE,0482,1668,1033,0.619304,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6537973.75390625,10653.3142919453
21,0145,145.0,COLBY,0145,245,178,0.72653,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2900843.02734375,7153.23503326631
22,0223,223.0,DESOTO,0223,516,329,0.637596,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1895934.140625,5824.66931287981
23,0526,526.0,MOHAWK,0526,450,278,0.617777,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3471209.8515625,8067.19269356092
24,0637,637.0,PHELPS,0637,472,301,0.637711,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3628973.1171875,7652.98221136049
25,0047,47.0,AZTEC SPRINGS,0047,1077,701,0.650882,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6531196.4609375,13510.2098319092
