OBJECTID,BdVal,PctNum,BdName,ElectNo,ElectPct,Requests,Returns,PercentReturned,Party,ELECTDATE,ELECTTTL,ELECTTL2,SHAPE__Area,SHAPE__Length
1,0159,159.0,COPPER HILLS,1389,0159,875,584,0.667428,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4668065.8515625,9664.04288822313
2,0374,374.0,HILTON,1389,0374,87,34,0.390804,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,11971797.4414063,19833.5857144812
3,0926,926.0,WOOD,1389,0926,849,429,0.5053,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3727548.69921875,7721.70712170273
4,0244,244.0,DUSTY TRAIL,1389,0244,1226,574,0.468189,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,10543453.5351563,18814.2802068415
5,0259,259.0,EMERALD,1389,0259,923,733,0.794149,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4126054.22265625,9019.97436307405
6,0136,136.0,CLEARVIEW,1389,0136,1024,620,0.605468,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3758212.9296875,7775.87557228059
7,0789,789.0,STELLA,1389,0789,330,157,0.475757,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2365765.6640625,6815.87340104468
8,0151,151.0,COMET,1389,0151,935,535,0.572192,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3544831.7578125,9708.37631427825
9,0231,231.0,DOS RIOS,1389,0231,225,92,0.408888,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7329239.671875,11442.3965767156
10,0931,931.0,YUCATAN,1389,0931,631,369,0.584786,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7405460.20703125,11529.0266888141
11,0928,928.0,XAVIER,1389,0928,273,121,0.443223,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2700002.31640625,7907.12364841616
12,0657,657.0,PORTLAND,1389,0657,390,177,0.453846,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4975860.80078125,9123.96792272197
13,0677,677.0,REDDEN,1389,0677,382,225,0.589005,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1824451.2421875,5757.89273018987
14,0493,493.0,MARLETTE,1389,0493,657,356,0.541856,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3710838.37890625,7705.50612570762
15,0619,619.0,PARK MEADOWS,1389,0619,475,311,0.654736,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3784533.35546875,7783.79432897985
16,0651,651.0,POINSETTIA,1389,0651,308,193,0.626623,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1511688.41796875,5748.01215679501
17,0323,323.0,GOLDEN,1389,0323,601,344,0.572379,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3761986.3203125,7758.59132530281
18,0531,531.0,MONTEBELLO,1389,0531,214,98,0.457943,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2305827.0859375,7637.22185797868
19,0064,64.0,BLACK GOLD,1389,0064,1079,890,0.824837,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4820192.7578125,9709.44621914566
20,0482,482.0,MAGIC STONE,1389,0482,1173,672,0.57289,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6537973.75390625,10653.3142919453
21,0145,145.0,COLBY,1389,0145,371,263,0.708894,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2900843.02734375,7153.23503326631
22,0223,223.0,DESOTO,1389,0223,416,236,0.567307,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1895934.140625,5824.66931287981
23,0526,526.0,MOHAWK,1389,0526,601,326,0.542429,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3471209.8515625,8067.19269356092
24,0637,637.0,PHELPS,1389,0637,739,385,0.520974,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3628973.1171875,7652.98221136049
25,0047,47.0,AZTEC SPRINGS,1389,0047,1288,821,0.637422,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6531196.4609375,13510.2098319092
26,0930,930.0,YOUNGTOWN,1389,0930,720,392,0.544444,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5644623.2578125,14355.1966564837
27,0902,902.0,WESTWORLD,1389,0902,2113,1445,0.683861,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,15490180.8828125,16623.7309388096
28,0881,881.0,WACKER PARK,1389,0881,938,524,0.558635,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3065823.546875,8747.81285084838
29,0394,394.0,INDIAN SPRINGS,1389,0394,519,235,0.452793,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2876912.73828125,7754.69698928783
30,0836,836.0,TIGER MOUNTAIN,1389,0836,675,553,0.819259,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,9630982.046875,14459.6741121595
31,0385,385.0,HOPI,1389,0385,920,579,0.629347,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4749096.0390625,10804.7364142
32,0686,686.0,RIATA,1389,0686,610,315,0.516393,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3354257.88671875,9295.37811358657
33,0252,252.0,EDISON,1389,0252,156,56,0.358974,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4016135.7578125,9681.76295905044
34,0127,127.0,CHOLLA,1389,0127,807,392,0.485749,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4638265.921875,9637.08644365046
