OBJECTID,BdVal,BdName,Requests,Returns,PercentReturned,ELECTDATE,ELECTTTL,ELECTTL2,SHAPE__Area,SHAPE__Length
1,0159,COPPER HILLS,2244,1523,0.678698,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4668065.8515625,9664.04288822313
2,0374,HILTON,739,287,0.388362,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,11971797.4414063,19833.5857144812
3,0926,WOOD,2575,1191,0.462524,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3727548.69921875,7721.70712170273
4,0244,DUSTY TRAIL,2496,1121,0.449118,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,10543453.5351563,18814.2802068415
5,0259,EMERALD,2130,1722,0.80845,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4126054.22265625,9019.97436307405
6,0136,CLEARVIEW,2780,1737,0.62482,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3758212.9296875,7775.87557228059
7,0789,STELLA,1605,586,0.365109,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2365765.6640625,6815.87340104468
8,0151,COMET,2590,1290,0.498069,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3544831.7578125,9708.37631427825
9,0231,DOS RIOS,1741,545,0.313038,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7329239.671875,11442.3965767156
10,0931,YUCATAN,1338,689,0.514947,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7405460.20703125,11529.0266888141
11,0928,XAVIER,1870,850,0.454545,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2700002.31640625,7907.12364841616
12,0657,PORTLAND,1187,457,0.385004,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4975860.80078125,9123.96792272197
13,0677,REDDEN,1452,855,0.588842,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1824451.2421875,5757.89273018987
14,0493,MARLETTE,3074,1707,0.555302,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3710838.37890625,7705.50612570762
15,0619,PARK MEADOWS,1052,715,0.679657,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3784533.35546875,7783.79432897985
16,0651,POINSETTIA,777,450,0.57915,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1511688.41796875,5748.01215679501
17,0323,GOLDEN,1751,919,0.524842,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3761986.3203125,7758.59132530281
18,0531,MONTEBELLO,1404,480,0.34188,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2305827.0859375,7637.22185797868
